scenario_id,scenario_name,metric_id,metric_name,dimension_id,asset,threat,description,freq_min,freq_most,freq_max,impact_min,impact_most,impact_max,currency
R001,Ransomware Attack on ERP,01,Tempo de Recuperacao Joias da Coroa,1,ERP System,Ransomware,Ransomware encrypts critical ERP database causing operational disruption,0.1,0.3,0.7,100000,500000,3000000,BRL
R002,Privileged Account Compromise,03,Protecao de Credenciais Privilegiadas,2,Domain Admin Accounts,Credential Theft,Attacker gains access to domain admin credentials through various attack vectors,0.2,0.4,1.0,200000,600000,2500000,BRL
R003,Data Breach via Phishing,07,Resiliencia Humana (Phishing),2,Customer Database,Phishing/Social Engineering,Employee compromised via spear phishing leads to sensitive data exfiltration,0.3,0.6,1.5,50000,200000,1000000,BRL
R004,Cloud Misconfiguration Exposure,06,Postura de Seguranca em Nuvem,3,Cloud Storage,Misconfiguration,Sensitive data exposed due to cloud storage misconfiguration (S3 bucket public access),0.1,0.25,0.6,100000,400000,2000000,BRL
R005,Critical Vulnerability Exploitation,05,Cobertura de Gestao de Vulnerabilidades,3,Web Application,Zero-Day/N-Day,Exploitation of unpatched critical vulnerability in public-facing application,0.15,0.35,0.8,150000,500000,2500000,BRL
R006,LGPD Non-Compliance Penalty,18,Conformidade GDPR/LGPD/Privacidade,4,Personal Data Processing,Regulatory,Penalty for non-compliance with LGPD data protection requirements,0.05,0.15,0.4,500000,2000000,10000000,BRL
R007,Insider Data Theft,12,Prevencao de Vazamento de Dados,4,Intellectual Property,Malicious Insider,Employee exfiltrates sensitive business data before leaving the company,0.1,0.2,0.5,300000,1000000,4000000,BRL
R008,OT/ICS Attack,15,Resiliencia de Sistemas Industriais,5,Industrial Control System,Nation-State/APT,Targeted attack on industrial control systems causing production disruption,0.02,0.08,0.2,1000000,5000000,20000000,BRL
R009,IoT Botnet Infection,14,Visibilidade de Ativos OT/IoT,5,IoT Devices,Botnet,IoT devices compromised and used for DDoS or lateral movement,0.1,0.3,0.8,50000,150000,500000,BRL
R010,AI Model Manipulation,16,Seguranca de Modelos de IA/ML,6,ML Models,Adversarial Attack,Adversarial manipulation of AI/ML model affecting business decisions,0.05,0.12,0.3,100000,400000,1500000,BRL
R011,Deepfake CEO Fraud,17,Deteccao de Deepfakes e Fraudes por IA,6,Executive Communications,Deepfake,Deepfake audio/video used to authorize fraudulent transactions,0.03,0.1,0.25,200000,800000,3000000,BRL
R012,Third-Party Data Breach,21,Gestao de Riscos de Terceiros,7,Vendor Systems,Third-Party,Data breach at critical vendor affecting shared data,0.1,0.25,0.6,150000,500000,2000000,BRL
R013,Supply Chain Compromise,22,Seguranca da Cadeia de Suprimentos,7,Software Dependencies,Supply Chain Attack,Malicious code introduced via compromised third-party software dependency,0.05,0.15,0.4,200000,800000,5000000,BRL
R014,External Attack Surface Exposure,20,Visibilidade da Superficie de Ataque,7,Shadow IT/Exposed Services,External Reconnaissance,Unknown exposed services or shadow IT discovered and exploited by attackers,0.2,0.4,1.0,80000,300000,1200000,BRL
R015,Crisis Communication Failure,25,Gestao de Crises e Comunicacao,1,Corporate Reputation,Incident Response Failure,Poor crisis communication during incident leads to reputational damage and customer loss,0.05,0.15,0.35,500000,1500000,5000000,BRL
